Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST
29/03/2025,Alaves,Vallecano,0,2,A,12,11,4,5
29/03/2025,Real Madrid,Leganes,3,2,H,24,10,10,4
30/03/2025,Getafe,Villarreal,1,2,A,11,9,4,3
30/03/2025,Barcelona,Girona,4,1,H,21,4,9,2
30/03/2025,Ath Bilbao,Osasuna,0,0,D,11,5,5,2
30/03/2025,Valencia,Mallorca,1,0,H,8,8,2,2
30/03/2025,Betis,Sevilla,2,1,H,11,6,3,2
31/03/2025,Celta,Las Palmas,1,1,D,19,4,7,2
04/04/2025,Vallecano,Espanol,0,4,A,16,15,5,7
05/04/2025,Girona,Alaves,0,1,A,11,14,6,3
05/04/2025,Real Madrid,Valencia,1,2,A,21,10,9,2
05/04/2025,Mallorca,Celta,1,2,A,7,10,2,4
05/04/2025,Barcelona,Betis,1,1,D,13,6,5,2
06/04/2025,Las Palmas,Sociedad,1,3,A,13,13,5,8
06/04/2025,Sevilla,Ath Madrid,1,2,A,11,13,6,5
06/04/2025,Valladolid,Getafe,0,4,A,5,16,0,9
06/04/2025,Villarreal,Ath Bilbao,0,0,D,12,11,4,2
07/04/2025,Leganes,Osasuna,1,1,D,13,14,7,6
11/04/2025,Valencia,Sevilla,1,0,H,8,12,6,5
12/04/2025,Sociedad,Mallorca,0,2,A,15,7,4,3
12/04/2025,Getafe,Las Palmas,1,3,A,11,10,6,5
12/04/2025,Celta,Espanol,0,2,A,16,5,6,3
12/04/2025,Leganes,Barcelona,0,1,A,6,12,1,3
13/04/2025,Osasuna,Girona,2,1,H,13,18,6,8
13/04/2025,Alaves,Real Madrid,0,1,A,13,11,6,4
13/04/2025,Betis,Villarreal,1,2,A,24,8,5,2
13/04/2025,Ath Bilbao,Vallecano,3,1,H,13,11,4,3
14/04/2025,Ath Madrid,Valladolid,4,2,H,24,6,9,3
18/04/2025,Espanol,Getafe,1,0,H,9,9,3,4
19/04/2025,Vallecano,Valencia,1,1,D,11,10,4,3
19/04/2025,Barcelona,Celta,4,3,H,18,11,6,8
19/04/2025,Mallorca,Leganes,0,0,D,11,15,1,1
19/04/2025,Las Palmas,Ath Madrid,1,0,H,8,7,2,2
20/04/2025,Valladolid,Osasuna,2,3,A,12,11,5,6
20/04/2025,Villarreal,Sociedad,2,2,D,20,4,5,4
20/04/2025,Sevilla,Alaves,1,1,D,10,11,2,3
20/04/2025,Real Madrid,Ath Bilbao,1,0,H,22,3,7,1
21/04/2025,Girona,Betis,1,3,A,11,17,5,9
22/04/2025,Valencia,Espanol,1,1,D,16,8,7,3
22/04/2025,Barcelona,Mallorca,1,0,H,40,4,13,0
23/04/2025,Ath Bilbao,Las Palmas,1,0,H,13,10,4,2
23/04/2025,Celta,Villarreal,3,0,H,21,4,9,1
23/04/2025,Alaves,Sociedad,1,0,H,10,6,1,0
23/04/2025,Getafe,Real Madrid,0,1,A,20,14,6,7
24/04/2025,Leganes,Girona,1,1,D,7,8,1,3
24/04/2025,Osasuna,Sevilla,1,0,H,9,12,2,3
24/04/2025,Ath Madrid,Vallecano,3,0,H,10,12,5,5
24/04/2025,Betis,Valladolid,5,1,H,16,10,6,5
27/04/2025,Villarreal,Espanol,1,0,H,14,12,5,1
02/05/2025,Vallecano,Getafe,1,0,H,13,12,8,1
03/05/2025,Alaves,Ath Madrid,0,0,D,8,9,2,2
03/05/2025,Villarreal,Osasuna,4,2,H,15,11,5,4
03/05/2025,Las Palmas,Valencia,2,3,A,15,10,3,5
03/05/2025,Valladolid,Barcelona,1,2,A,5,24,4,7
04/05/2025,Real Madrid,Celta,3,2,H,17,14,6,7
04/05/2025,Sevilla,Leganes,2,2,D,25,9,7,3
04/05/2025,Espanol,Betis,1,2,A,11,20,5,10
04/05/2025,Sociedad,Ath Bilbao,0,0,D,12,3,3,1
05/05/2025,Girona,Mallorca,1,0,H,13,9,6,1
09/05/2025,Las Palmas,Vallecano,0,1,A,11,16,2,5
10/05/2025,Valencia,Getafe,3,0,H,10,10,6,3
10/05/2025,Celta,Sevilla,3,2,H,8,19,4,10
10/05/2025,Girona,Villarreal,0,1,A,7,14,0,5
10/05/2025,Mallorca,Valladolid,2,1,H,12,16,4,7
10/05/2025,Ath Madrid,Sociedad,4,0,H,13,6,7,1
11/05/2025,Leganes,Espanol,3,2,H,13,12,5,6
11/05/2025,Barcelona,Real Madrid,4,3,H,23,9,9,5
11/05/2025,Ath Bilbao,Alaves,1,0,H,11,4,3,1
11/05/2025,Betis,Osasuna,1,1,D,10,16,5,5
13/05/2025,Valladolid,Girona,0,1,A,11,13,4,5
13/05/2025,Sociedad,Celta,0,1,A,15,6,5,2
13/05/2025,Sevilla,Las Palmas,1,0,H,10,14,3,3
14/05/2025,Alaves,Valencia,1,0,H,11,10,5,3
14/05/2025,Villarreal,Leganes,3,0,H,17,23,7,6
14/05/2025,Real Madrid,Mallorca,2,1,H,39,4,13,2
15/05/2025,Vallecano,Betis,2,2,D,20,10,6,3
15/05/2025,Osasuna,Ath Madrid,2,0,H,9,9,3,5
15/05/2025,Espanol,Barcelona,0,2,A,9,12,1,4
15/05/2025,Getafe,Ath Bilbao,0,2,A,11,9,1,2
18/05/2025,Ath Madrid,Betis,4,1,H,20,12,11,7
18/05/2025,Barcelona,Villarreal,2,3,A,24,7,9,3
18/05/2025,Celta,Vallecano,1,2,A,24,7,7,2
18/05/2025,Las Palmas,Leganes,0,1,A,12,11,3,4
18/05/2025,Mallorca,Getafe,1,2,A,7,10,1,4
18/05/2025,Osasuna,Espanol,2,0,H,16,16,3,6
18/05/2025,Sevilla,Real Madrid,0,2,A,6,16,1,6
18/05/2025,Sociedad,Girona,3,2,H,15,9,9,5
18/05/2025,Valencia,Ath Bilbao,0,1,A,6,10,2,4
18/05/2025,Valladolid,Alaves,0,1,A,7,14,1,4
23/05/2025,Betis,Valencia,1,1,D,14,9,4,2
24/05/2025,Real Madrid,Sociedad,2,0,H,16,9,8,1
24/05/2025,Espanol,Las Palmas,2,0,H,8,10,3,4
24/05/2025,Leganes,Valladolid,3,0,H,16,6,6,2
24/05/2025,Alaves,Osasuna,1,1,D,14,19,5,5
24/05/2025,Getafe,Celta,1,2,A,6,15,1,8
24/05/2025,Vallecano,Mallorca,0,0,D,27,9,8,2
25/05/2025,Girona,Ath Madrid,0,4,A,2,19,1,11
25/05/2025,Villarreal,Sevilla,4,2,H,12,17,7,6
25/05/2025,Ath Bilbao,Barcelona,0,3,A,10,13,1,4
